Episode 0: 3.31092s
Episode 1: 11.1919s
Episode 2: 19.8075s
Episode 3: 27.6878s
Episode 4: 35.88s
         4956584 function calls (4830750 primitive calls) in 37.703 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     28/1    0.000    0.000   37.703   37.703 {built-in method builtins.exec}
        1    0.000    0.000   37.703   37.703 <string>:1(<module>)
        1    0.002    0.002   37.703   37.703 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/test/cuda_test.py:15(main)
        1    0.005    0.005   37.700   37.700 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/test/cuda_test.py:19(run)
     1000    0.003    0.000   35.160    0.035 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/Agent.py:53(reinforcement)
     1000    0.004    0.000   35.152    0.035 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:142(_reinforce)
      220    0.005    0.000   35.131    0.160 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/dqn/DQNAgent.py:67(experience_replay)
      220    1.359    0.006   33.952    0.154 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:175(_preprocess)
    57320    0.279    0.000   32.773    0.001 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:134(q_values)
    56320    0.078    0.000   32.355    0.001 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:183(<lambda>)
    57320    0.967    0.000   32.006    0.001 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:55(predict)
172840/57760    0.490    0.000   23.300    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1104(_call_impl)
    57540    0.309    0.000   22.964    0.000 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:40(forward)
    57540    0.570    0.000   19.532    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:713(forward)
    57540   18.120    0.000   18.120    0.000 {built-in method lstm}
   157834    4.580    0.000    4.581    0.000 {method 'to' of 'torch._C._TensorBase' objects}
   171960    3.398    0.000    3.398    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
   157820    0.309    0.000    3.310    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/TorchModel.py:186(data_to_model)
    57540    0.112    0.000    2.569    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/linear.py:102(forward)
    57540    2.420    0.000    2.420    0.000 {built-in method torch._C._nn.linear}
    50030    0.128    0.000    1.933    0.000 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:68(tuple_to_model)
