Episode 0: 6.57521s
Episode 1: 18.5728s
Episode 2: 26.9361s
Episode 3: 39.2589s
Episode 4: 51.5698s
         4570157 function calls (4444311 primitive calls) in 53.743 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     28/1    0.000    0.000   53.743   53.743 {built-in method builtins.exec}
        1    0.000    0.000   53.743   53.743 <string>:1(<module>)
        1    0.003    0.003   53.743   53.743 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/test/cuda_test.py:15(main)
        1    0.005    0.005   53.740   53.740 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/test/cuda_test.py:19(run)
     1000    0.003    0.000   50.153    0.050 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/Agent.py:53(reinforcement)
     1000    0.005    0.000   50.145    0.050 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:142(_reinforce)
      220    0.006    0.000   50.124    0.228 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/dqn/DQNAgent.py:67(experience_replay)
      220    1.426    0.006   48.830    0.222 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:175(_preprocess)
    57320    0.310    0.000   48.267    0.001 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:134(q_values)
    57320    0.571    0.000   47.460    0.001 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:55(predict)
    56320    0.078    0.000   47.158    0.001 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:183(<lambda>)
172840/57760    0.476    0.000   23.868    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1104(_call_impl)
    57540    0.309    0.000   23.539    0.000 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:40(forward)
    57540    0.554    0.000   20.113    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:713(forward)
    57540   18.704    0.000   18.704    0.000 {built-in method lstm}
    57774   14.040    0.000   14.041    0.000 {method 'to' of 'torch._C._TensorBase' objects}
   157820    0.232    0.000   12.325    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/TorchModel.py:186(data_to_model)
    57320   10.047    0.000   10.047    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
    57540    0.114    0.000    2.575    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/linear.py:102(forward)
    57540    2.420    0.000    2.420    0.000 {built-in method torch._C._nn.linear}
   215361    0.035    0.000    2.172    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/TorchModel.py:149(_check_device)
        1    0.000    0.000    2.150    2.150 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:103(__init__)
        1    0.000    0.000    2.147    2.147 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:15(__init__)
        1    0.000    0.000    2.137    2.137 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/TorchModel.py:145(check_initialization)
        1    0.000    0.000    2.137    2.137 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/TorchModel.py:159(_deploy_to_device)
        1    0.000    0.000    2.131    2.131 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:803(to)
      3/1    0.000    0.000    2.131    2.131 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:576(_apply)
       14    0.000    0.000    2.129    0.152 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:901(convert)
        1    0.000    0.000    2.127    2.127 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:181(_apply)
     1000    0.005    0.000    1.336    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/Agent.py:31(action)
     1000    0.004    0.000    1.263    0.001 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:128(policy)
      220    0.007    0.000    1.173    0.005 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/TorchModel.py:34(fit_and_validate)
      220    0.004    0.000    1.113    0.005 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/TorchModel.py:55(<listcomp>)
      220    0.004    0.000    1.023    0.005 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:45(_fit_batch)
   113640    0.495    0.000    0.495    0.000 {method 'reshape' of 'torch._C._TensorBase' objects}
      220    0.002    0.000    0.464    0.002 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_tensor.py:307(backward)
      220    0.002    0.000    0.463    0.002 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/__init__.py:85(backward)
      220    0.455    0.002    0.455    0.002 {method 'run_backward' of 'torch._C._EngineBase' objects}
    57540    0.139    0.000    0.428    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:679(check_forward_args)
      220    0.002    0.000    0.287    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/torch/optim/optimizer.py:83(wrapper)
      220    0.001    0.000    0.277    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/grad_mode.py:24(decorate_context)
      220    0.010    0.000    0.273    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/torch/optim/adam.py:89(step)
    50030    0.090    0.000    0.267    0.000 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:68(tuple_to_model)
      220    0.063    0.000    0.254    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/torch/optim/_functional.py:64(adam)
    60649    0.106    0.000    0.240    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/grad_mode.py:130(__exit__)
    16340    0.235    0.000    0.235    0.000 {built-in method zeros}
   173940    0.225    0.000    0.225    0.000 {built-in method torch._C._get_tracing_state}
    60620    0.216    0.000    0.216    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
   121298    0.140    0.000    0.201    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/grad_mode.py:215(__init__)
   230477    0.197    0.000    0.197    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1172(__getattr__)
    28060    0.164    0.000    0.164    0.000 {method 'max' of 'torch._C._TensorBase' objects}
   158260    0.119    0.000    0.159    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/utils.py:75(assure_tensor)
    60649    0.148    0.000    0.155    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/grad_mode.py:121(__init__)
    60649    0.068    0.000    0.152    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/grad_mode.py:126(__enter__)
   345684    0.151    0.000    0.151    0.000 {method 'size' of 'torch._C._TensorBase' objects}
   115080    0.050    0.000    0.096    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:223(check_hidden_size)
      220    0.001    0.000    0.086    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1440(load_state_dict)
      440    0.003    0.000    0.085    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:526(__next__)
  880/220    0.002    0.000    0.084    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1475(load)
      880    0.027    0.000    0.081    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1346(_load_from_state_dict)
    57540    0.047    0.000    0.081    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:198(check_input)
    56320    0.078    0.000    0.078    0.000 {built-in method from_numpy}
     1000    0.002    0.000    0.073    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/gym/wrappers/time_limit.py:16(step)
     1000    0.002    0.000    0.071    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/gym/wrappers/order_enforcing.py:11(step)
     1000    0.014    0.000    0.069    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/classic_control/mountain_car.py:117(step)
      440    0.003    0.000    0.069    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:568(_next_data)
9339/3674    0.008    0.000    0.069    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    57540    0.055    0.000    0.068    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:209(get_expected_hidden_size)
     1000    0.002    0.000    0.066    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:9(action_from_policy)
   293168    0.062    0.000    0.065    0.000 {built-in method builtins.isinstance}
     1000    0.055    0.000    0.064    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
     6160    0.059    0.000    0.059    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
     1000    0.003    0.000    0.056    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:63(epsilon_greedy_policy)
     6160    0.051    0.000    0.051    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
   181947    0.050    0.000    0.050    0.000 {built-in method torch._C.is_grad_enabled}
    57760    0.032    0.000    0.050    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_VF.py:25(__getattr__)
     2000    0.002    0.000    0.047    0.000 <__array_function__ internals>:177(clip)
     3108    0.003    0.000    0.045    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
   216244    0.045    0.000    0.045    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
    57540    0.031    0.000    0.044    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:667(get_expected_cell_size)
     2000    0.002    0.000    0.041    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2083(clip)
      220    0.001    0.000    0.039    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/_utils/fetch.py:47(fetch)
     2000    0.004    0.000    0.037    0.000 {method 'clip' of 'numpy.generic' objects}
      220    0.008    0.000    0.036    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/optim/optimizer.py:189(zero_grad)
      554    0.007    0.000    0.036    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:48(greedy_policy)
     2000    0.005    0.000    0.033    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/_methods.py:125(_clip)
      880    0.031    0.000    0.031    0.000 {method 'item' of 'torch._C._TensorBase' objects}
     3080    0.030    0.000    0.030    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
   121298    0.028    0.000    0.028    0.000 {built-in method torch._C._set_grad_enabled}
     3080    0.028    0.000    0.028    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
      440    0.000    0.000    0.027    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:520(_next_index)
      668    0.000    0.000    0.027    0.000 {built-in method builtins.next}
      440    0.004    0.000    0.027    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/sampler.py:224(__iter__)
     2000    0.005    0.000    0.027    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/dqn/DQNAgent.py:98(exploration_rate)
     3080    0.026    0.000    0.026    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
   107570    0.026    0.000    0.026    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:691(permute_hidden)
