Episode 0: 2.34267s
Episode 1: 7.95833s
Episode 2: 14.4301s
Episode 3: 20.4294s
Episode 4: 26.5074s
         4797143 function calls (4671382 primitive calls) in 26.557 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     27/1    0.000    0.000   26.558   26.558 {built-in method builtins.exec}
        1    0.000    0.000   26.558   26.558 <string>:1(<module>)
        1    0.002    0.002   26.558   26.558 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/test/cuda_test.py:15(main)
        1    0.005    0.005   26.555   26.555 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/test/cuda_test.py:19(run)
     1000    0.004    0.000   25.803    0.026 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/Agent.py:53(reinforcement)
     1000    0.005    0.000   25.795    0.026 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:142(_reinforce)
      220    0.009    0.000   25.773    0.117 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/dqn/DQNAgent.py:67(experience_replay)
      220    1.265    0.006   20.255    0.092 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:175(_preprocess)
    57320    0.209    0.000   19.166    0.000 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:134(q_values)
    56320    0.068    0.000   18.772    0.000 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:183(<lambda>)
    57320    0.466    0.000   18.572    0.000 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:55(predict)
172840/57760    0.383    0.000   17.758    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1104(_call_impl)
    57540    0.271    0.000   17.510    0.000 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:40(forward)
    57540    0.480    0.000   15.670    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:713(forward)
    57540   14.535    0.000   14.535    0.000 {built-in method lstm}
      220    0.008    0.000    5.274    0.024 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/TorchModel.py:34(fit_and_validate)
      220    0.032    0.000    5.212    0.024 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/TorchModel.py:55(<listcomp>)
